,time,open,high,low,close
2313,2024-10-01 10:41:20,1.10729,1.10736,1.10727,1.10733
2314,2024-10-01 10:41:25,1.10733,1.10733,1.10726,1.10726
2315,2024-10-01 10:41:30,1.10725,1.10738,1.10725,1.10734
2316,2024-10-01 10:41:35,1.10736,1.10747,1.10736,1.10745
2317,2024-10-01 10:41:40,1.10745,1.10751,1.10745,1.10749
2318,2024-10-01 10:41:45,1.10747,1.10747,1.10732,1.10732
2319,2024-10-01 10:41:50,1.10732,1.1074,1.10732,1.10734
2320,2024-10-01 10:41:55,1.10734,1.10738,1.10726,1.10728
2321,2024-10-01 10:42:00,1.10727,1.10728,1.10711,1.10711
2322,2024-10-01 10:42:05,1.10708,1.10708,1.10702,1.10707
2323,2024-10-01 10:42:10,1.10707,1.10715,1.10707,1.10707
2324,2024-10-01 10:42:15,1.10697,1.10709,1.10697,1.10707
2325,2024-10-01 10:42:20,1.10708,1.1071,1.10703,1.10704
2326,2024-10-01 10:42:25,1.10704,1.1071,1.10704,1.10705
2327,2024-10-01 10:42:30,1.10707,1.10714,1.10707,1.10714
2328,2024-10-01 10:42:35,1.10715,1.10725,1.10711,1.10716
2329,2024-10-01 10:42:40,1.10716,1.10716,1.10704,1.10704
2330,2024-10-01 10:42:45,1.10703,1.10713,1.10703,1.10713
2331,2024-10-01 10:42:50,1.10713,1.10723,1.10713,1.10715
2332,2024-10-01 10:42:55,1.10715,1.10717,1.10711,1.10711
2333,2024-10-01 10:43:00,1.10708,1.10711,1.10705,1.10705
2334,2024-10-01 10:43:05,1.10705,1.10706,1.10702,1.10702
2335,2024-10-01 10:43:10,1.10702,1.10713,1.10702,1.10709
2336,2024-10-01 10:43:15,1.10711,1.10713,1.1071,1.1071
2337,2024-10-01 10:43:20,1.1071,1.10725,1.1071,1.10725
2338,2024-10-01 10:43:25,1.10725,1.10729,1.10722,1.10725
2339,2024-10-01 10:43:30,1.10726,1.1073,1.10724,1.10725
2340,2024-10-01 10:43:35,1.10725,1.10731,1.10722,1.10731
2341,2024-10-01 10:43:40,1.10731,1.1074,1.1073,1.1074
2342,2024-10-01 10:43:45,1.10749,1.10756,1.10748,1.10748
2343,2024-10-01 10:43:50,1.10748,1.10748,1.10737,1.10737
2344,2024-10-01 10:43:55,1.10737,1.10741,1.10731,1.10732
2345,2024-10-01 10:44:00,1.10732,1.10737,1.10724,1.10725
2346,2024-10-01 10:44:05,1.10725,1.10735,1.10725,1.10734
2347,2024-10-01 10:44:10,1.10734,1.10734,1.10726,1.10726
2348,2024-10-01 10:44:15,1.10724,1.10725,1.10721,1.10722
2349,2024-10-01 10:44:20,1.10722,1.10724,1.10717,1.10717
2350,2024-10-01 10:44:25,1.10717,1.1072,1.10717,1.10719
2351,2024-10-01 10:44:30,1.10719,1.10729,1.10719,1.10729
2352,2024-10-01 10:44:35,1.10729,1.10732,1.10725,1.10725
2353,2024-10-01 10:44:40,1.10725,1.10728,1.10722,1.10728
2354,2024-10-01 10:44:45,1.10729,1.10732,1.10727,1.10728
2355,2024-10-01 10:44:50,1.10728,1.10732,1.10728,1.10732
2356,2024-10-01 10:44:55,1.10732,1.10741,1.1073,1.10741
2357,2024-10-01 10:45:00,1.10739,1.1074,1.10727,1.10727
2358,2024-10-01 10:45:05,1.10727,1.10733,1.10724,1.10733
2359,2024-10-01 10:45:10,1.10735,1.1074,1.10733,1.1074
2360,2024-10-01 10:45:15,1.10741,1.10749,1.10741,1.10749
2361,2024-10-01 10:45:20,1.1075,1.1076,1.1075,1.1076
2362,2024-10-01 10:45:25,1.10761,1.10769,1.1076,1.10765
2363,2024-10-01 10:45:30,1.10764,1.10767,1.10762,1.10762
2364,2024-10-01 10:45:35,1.10763,1.10764,1.1076,1.1076
2365,2024-10-01 10:45:40,1.10758,1.10762,1.10755,1.10757
2366,2024-10-01 10:45:45,1.10757,1.10757,1.10754,1.10754
2367,2024-10-01 10:45:50,1.10753,1.10754,1.10743,1.10743
2368,2024-10-01 10:45:55,1.10745,1.10751,1.10742,1.10747
2369,2024-10-01 10:46:00,1.10747,1.10748,1.10743,1.10744
2370,2024-10-01 10:46:05,1.10745,1.10753,1.10742,1.10751
2371,2024-10-01 10:46:10,1.10753,1.10753,1.10741,1.10741
2372,2024-10-01 10:46:15,1.10741,1.10747,1.1074,1.10747
2373,2024-10-01 10:46:20,1.10746,1.10755,1.10746,1.10751
2374,2024-10-01 10:46:25,1.1075,1.10752,1.10745,1.10745
2375,2024-10-01 10:46:30,1.10745,1.10765,1.10745,1.10765
2376,2024-10-01 10:46:35,1.10767,1.10767,1.10753,1.10753
2377,2024-10-01 10:46:40,1.10752,1.10752,1.10744,1.10745
2378,2024-10-01 10:46:45,1.10745,1.10745,1.1074,1.1074
2379,2024-10-01 10:46:50,1.10735,1.10742,1.10732,1.10742
2380,2024-10-01 10:46:55,1.10747,1.10749,1.10727,1.10727
2381,2024-10-01 10:47:00,1.10727,1.10734,1.10727,1.10734
2382,2024-10-01 10:47:05,1.10733,1.10745,1.10732,1.10745
2383,2024-10-01 10:47:10,1.10746,1.10746,1.10735,1.10735
2384,2024-10-01 10:47:15,1.10735,1.10736,1.10731,1.10733
2385,2024-10-01 10:47:20,1.1073,1.10732,1.10726,1.10726
2386,2024-10-01 10:47:25,1.10727,1.1073,1.10719,1.10719
2387,2024-10-01 10:47:30,1.10719,1.10721,1.10715,1.1072
2388,2024-10-01 10:47:35,1.10718,1.1073,1.10718,1.1073
2389,2024-10-01 10:47:40,1.10731,1.10733,1.10728,1.10732
